title,make,model,year,condition,transmission,price
Hyundai Sonata 2016 White,Hyundai,Sonata,2016,Foreign used,Automatic,13500000.0
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2008 Blue,Toyota,Camry LE,2008,Local used,Automatic,5800000.0
Toyota Camry 2013 Gray,Toyota,Camry,2013,Local used,Automatic,11500000.0
Mercedes-Benz M Class ML 350 4Matic 2013 Black,Mercedes-Benz,M Class,2013,Foreign used,Automatic,30000000.0
BMW 325i 2005 Blue,BMW,325i,2005,Foreign used,Automatic,8800000.0
Hyundai Santa Fe 2018 Gray,Hyundai,Santa Fe,2018,Foreign used,Automatic,18000000.0
Mercedes-Benz C300 2012 White,Mercedes-Benz,C300,2012,Local used,Automatic,9500000.0
Hyundai Elantra Limited 4dr Sedan (1.8L 4cyl 6A) 2015 Silver,Hyundai,Elantra Limited,2015,Foreign used,Automatic,12800000.0
Toyota Venza 2010 White,Toyota,Venza,2010,Foreign used,Automatic,20800000.0
Mercedes-Benz E350 2014 Black,Mercedes-Benz,E350,2014,Local used,Automatic,13500000.0
Toyota Highlander LE 4dr SUV AWD (3.5L 6cyl 6A) 2015 Silver,Toyota,Highlander LE,2015,Local used,Automatic,20000000.0
Toyota Venza 2013 Black,Toyota,Venza,2013,Foreign used,Automatic,18150000.0
Mercedes-Benz C350 2008 Black,Mercedes-Benz,C350,2008,Local used,Automatic,7600000.0
Lexus ES 350 FWD 2013 Black,Lexus,ES 350,2013,Foreign used,Automatic,20500000.0
Lexus RX 350 2013 Gold,Lexus,RX 350,2013,Foreign used,Automatic,24850000.0
Honda Accord 2.0 Sedan Automatic 2012 Gray,Honda,Accord 2,2012,Foreign used,Automatic,9350000.0
Kia Picanto 2008 White,Kia,Picanto,2008,Foreign used,Automatic,7350000.0
Mercedes-Benz GLK-Class 2014 White,Mercedes-Benz,GLK-Class,2014,Foreign used,Automatic,26500000.0
Honda Civic 2015 Black,Honda,Civic,2015,Foreign used,Automatic,13000000.0
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2009 Gray,Toyota,Camry LE,2009,Local used,Automatic,6800000.0
Hyundai Sonata 2015 Black,Hyundai,Sonata,2015,Foreign used,Automatic,11950000.0
Toyota Venza AWD 2011 Blue,Toyota,Venza AWD,2011,Foreign used,Automatic,15300000.0
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2008 Black,Toyota,Camry LE,2008,Foreign used,Automatic,9500000.0
Honda Jazz 2006 Black,Honda,Jazz,2006,Foreign used,Automatic,6300000.0
Toyota Corolla 2012 Silver,Toyota,Corolla,2012,Local used,Automatic,7500000.0
Mercedes-Benz GLK-Class 350 4MATIC 2010 White,Mercedes-Benz,GLK-Class 350,2010,Foreign used,Automatic,12500000.0
Mercedes-Benz GLE-Class 2017 White,Mercedes-Benz,GLE-Class,2017,Foreign used,Automatic,33000000.0
Lexus ES 350 FWD 2013 Black,Lexus,ES 350,2013,Local used,Automatic,15850000.0
Mercedes-Benz CLA-Class CLA 250 4MATIC Sedan 2018 White,Mercedes-Benz,CLA-Class CLA,2018,Foreign used,Automatic,24250000.0
Honda Accord 2012 Black,Honda,Accord,2012,Local used,Automatic,6500000.0
BMW 528i 2014 Blue,BMW,528i,2014,Foreign used,Automatic,28000000.0
Honda Accord 2007 Blue,Honda,Accord,2007,Foreign used,Automatic,8800000.0
Mercedes-Benz C300 2009 Silver,Mercedes-Benz,C300,2009,Local used,Automatic,10500000.0
Mercedes-Benz E350 2012 Gray,Mercedes-Benz,E350,2012,Local used,Automatic,9700000.0
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2008 Black,Toyota,Camry LE,2008,Local used,Automatic,8000000.0
Toyota Corolla LE 2020 Black,Toyota,Corolla LE,2020,Foreign used,Automatic,26000000.0
